n_times,noise,trajectories,criterion,mean,count,ci_low,ci_high
20,0.045,2,bic,0.0,20,0.0,0.16112515805281938
20,0.045,2,gic_eff,0.0,20,0.0,0.16112515805281938
20,0.045,2,gic_vol_050,0.0,20,0.0,0.16112515805281938
20,0.045,2,ogic_e,0.0,20,0.0,0.16112515805281938
20,0.045,4,aic,0.05,20,0.008881448800795402,0.23613119344674205
20,0.045,4,bic,0.0,20,0.0,0.16112515805281938
20,0.045,4,gic_eff,0.35,20,0.18119182410108206,0.5671457233147638
20,0.045,4,gic_vol_050,0.25,20,0.11186170140766569,0.468700877618744
20,0.045,4,ogic_e,0.0,20,0.0,0.16112515805281938
40,0.005,1,aic,0.8,20,0.5839825677481064,0.919342337420202
40,0.005,1,bic,0.3,20,0.1454772448676043,0.5189728183535235
40,0.005,1,gic_eff,0.85,20,0.6395811352592431,0.9476312541037835
40,0.005,1,gic_vol_050,0.85,20,0.6395811352592431,0.9476312541037835
40,0.005,1,ogic_e,1.0,20,0.8388748419471806,1.0
40,0.005,2,aic,1.0,20,0.8388748419471806,1.0
40,0.005,2,bic,1.0,20,0.8388748419471806,1.0
40,0.005,2,gic_eff,1.0,20,0.8388748419471806,1.0
40,0.005,2,gic_vol_050,1.0,20,0.8388748419471806,1.0
40,0.005,2,ogic_e,1.0,20,0.8388748419471806,1.0
40,0.005,4,aic,1.0,20,0.8388748419471806,1.0
40,0.005,4,bic,1.0,20,0.8388748419471806,1.0
40,0.005,4,gic_eff,1.0,20,0.8388748419471806,1.0
40,0.005,4,gic_vol_050,1.0,20,0.8388748419471806,1.0
40,0.005,4,ogic_e,1.0,20,0.8388748419471806,1.0
40,0.015,1,aic,0.0,20,0.0,0.16112515805281938
40,0.015,1,bic,0.0,20,0.0,0.16112515805281938
40,0.015,1,gic_eff,0.75,20,0.531299122381256,0.8881382985923343
40,0.015,1,gic_vol_050,0.7,20,0.4810271816464765,0.8545227551323956
40,0.015,1,ogic_e,0.35,20,0.18119182410108206,0.5671457233147638
40,0.015,2,aic,0.5,20,0.2992980081982123,0.7007019918017877
40,0.015,2,bic,0.05,20,0.008881448800795402,0.23613119344674205
40,0.015,2,gic_eff,0.7,20,0.4810271816464765,0.8545227551323956
40,0.015,2,gic_vol_050,0.6,20,0.3865815007622531,0.781193467627183
40,0.015,2,ogic_e,0.25,20,0.11186170140766569,0.468700877618744
40,0.015,4,aic,1.0,20,0.8388748419471806,1.0
40,0.015,4,bic,1.0,20,0.8388748419471806,1.0
40,0.015,4,gic_eff,1.0,20,0.8388748419471806,1.0
40,0.015,4,gic_vol_050,1.0,20,0.8388748419471806,1.0
40,0.015,4,ogic_e,1.0,20,0.8388748419471806,1.0
40,0.045,1,aic,0.0,20,0.0,0.16112515805281938
40,0.045,1,bic,0.0,20,0.0,0.16112515805281938
40,0.045,1,gic_eff,0.45,20,0.2581978582556243,0.6579146575496577
40,0.045,1,gic_vol_050,0.45,20,0.2581978582556243,0.6579146575496577
40,0.045,1,ogic_e,0.0,20,0.0,0.16112515805281938
40,0.045,2,aic,0.0,20,0.0,0.16112515805281938
40,0.045,2,bic,0.0,20,0.0,0.16112515805281938
40,0.045,2,gic_eff,0.05,20,0.008881448800795402,0.23613119344674205
40,0.045,2,gic_vol_050,0.0,20,0.0,0.16112515805281938
40,0.045,2,ogic_e,0.0,20,0.0,0.16112515805281938
40,0.045,4,aic,0.35,20,0.18119182410108206,0.5671457233147638
40,0.045,4,bic,0.0,20,0.0,0.16112515805281938
40,0.045,4,gic_eff,0.45,20,0.2581978582556243,0.6579146575496577
40,0.045,4,gic_vol_050,0.4,20,0.21880653237281705,0.6134184992377469
40,0.045,4,ogic_e,0.1,20,0.027866481213768224,0.3010336452284873
